TotalEnvSteps,REINFORCE-seed-3,REINFORCE-seed-1,REINFORCE-seed-0
76288,10.10000038,10.5,15.80000019
76416,11.19999981,11.19999981,16.89999962
76544,9.399999619,9.300000191,14.5
76672,8.800000191,8.5,14.10000038
76800,9.899999619,9.899999619,14.89999962
76928,10.80000019,11.30000019,15.39999962
77056,8.899999619,10.89999962,16.29999924
77184,9.199999809,10.39999962,16.5
77312,8.199999809,11.19999981,15.60000038
77440,7.900000095,13.69999981,14.60000038
77568,9.899999619,11.60000038,16.60000038
77696,11.10000038,11,16.39999962
77824,11.60000038,11.39999962,16.79999924
77952,10.30000019,11.60000038,15.89999962
78080,11.39999962,11.69999981,15.39999962
78208,11.69999981,10.89999962,16.60000038
78336,13.39999962,11.69999981,14.89999962
78464,12.19999981,12.30000019,12.60000038
78592,10.10000038,12.69999981,12.89999962
78720,8.899999619,12.5,14.10000038
78848,9.5,12.69999981,14.39999962
78976,10.10000038,11.5,15.19999981
79104,11.19999981,10.80000019,13.89999962
79232,12,11.89999962,15.39999962
79360,9.899999619,12.19999981,16.20000076
79488,10.10000038,12,12.10000038
79616,8.5,11.89999962,12.5
79744,8.699999809,9.899999619,15
79872,10.80000019,8.800000191,15.5
80000,12.10000038,10.39999962,13.19999981
80128,10.39999962,13,12.19999981
80256,10.5,14.39999962,14.89999962
80384,11.19999981,14.69999981,15.10000038
80512,11.60000038,12.10000038,15.39999962
80640,11.10000038,10.5,15.10000038
80768,9.399999619,11.89999962,13.5
80896,7.800000191,13.10000038,13.10000038
81024,9.699999809,13,12.5
81152,12.10000038,12.60000038,13
81280,12.19999981,11.19999981,12.60000038
81408,11.30000019,11.19999981,11.19999981
81536,11.39999962,12.19999981,13.80000019
81664,8.899999619,12.60000038,14.10000038
81792,7.900000095,12.69999981,15.30000019
81920,8.300000191,13.60000038,16.20000076
82048,10.5,14.19999981,13.5
82176,12.19999981,13.30000019,14.69999981
82304,8.399999619,12.19999981,16.39999962
82432,7,11.69999981,16.29999924
82560,8.5,11.30000019,15.60000038
82688,7.400000095,12.60000038,16.10000038
82816,9.100000381,12.10000038,16.60000038
82944,11.60000038,12.39999962,16.10000038
83072,13.39999962,11.10000038,18.10000038
83200,11.39999962,10.69999981,15.69999981
83328,11.19999981,11.10000038,12.69999981
83456,10.69999981,12.39999962,16.39999962
83584,11.10000038,11.89999962,17.60000038
83712,13.10000038,13.69999981,13.39999962
83840,12.39999962,13.69999981,12
83968,10,12.5,16
84096,10.80000019,14,17.39999962
84224,9.800000191,15.39999962,14
84352,9.199999809,11.69999981,14.69999981
84480,9.600000381,11.60000038,15.30000019
84608,9,11.30000019,14.10000038
84736,9.399999619,11.30000019,13.10000038
84864,10.5,12.60000038,14.10000038
84992,11.19999981,12.89999962,15.69999981
85120,12.69999981,13.10000038,15.80000019
85248,12.39999962,11.80000019,13.60000038
85376,10.5,10.69999981,14.39999962
85504,8.699999809,11.39999962,15.80000019
85632,10.60000038,13.10000038,15.39999962
85760,10.19999981,12.89999962,14.69999981
85888,7.5,14.5,14.60000038
86016,9.100000381,14.5,15.19999981
86144,10.69999981,12.69999981,11.30000019
86272,10.5,9.5,11.30000019
86400,9.399999619,9.100000381,12.30000019
86528,9.699999809,11.69999981,14.5
86656,8.100000381,10.89999962,14.69999981
